race_id,driver_id,lapno,race_progress_pct,y_pit,p_pit,pit_pred
2,1,1,1.72413793103448,0,0.006834407337009907,0
2,1,2,3.44827586206896,0,0.0016306295292451978,0
2,1,3,5.1724137931034395,0,0.0033057620748877525,0
2,1,4,6.89655172413793,0,0.0009225058020092547,0
2,1,5,8.620689655172411,0,0.0011579153360798955,0
2,1,6,10.34482758620689,0,0.0015262891538441181,0
2,1,7,12.068965517241379,0,0.008052772842347622,0
2,1,8,13.79310344827586,0,0.005749513395130634,0
2,1,9,15.51724137931034,0,0.01072445698082447,0
2,1,10,17.24137931034483,0,0.018346337601542473,0
2,1,11,18.96551724137931,0,0.009854420088231564,0
2,1,12,20.68965517241379,0,0.018478909507393837,0
2,1,13,22.41379310344827,0,0.028257155790925026,0
2,1,14,24.137931034482758,0,0.02867496758699417,0
2,1,15,25.86206896551724,0,0.0290567297488451,0
2,1,16,27.58620689655172,0,0.03583480790257454,0
2,1,17,29.3103448275862,0,0.02834198996424675,0
2,1,18,31.03448275862069,0,0.024730553850531578,0
2,1,19,32.758620689655174,1,0.9073727130889893,1
2,1,20,34.48275862068966,0,0.0008828809950500727,0
2,1,21,36.206896551724135,0,0.0008023679838515818,0
2,1,22,37.93103448275862,0,0.0006148738320916891,0
2,1,23,39.655172413793096,0,0.0006985039217397571,0
2,1,24,41.37931034482758,0,0.0008280317997559905,0
2,1,25,43.103448275862064,0,0.000833387952297926,0
2,1,26,44.827586206896555,0,0.030795754864811897,0
2,1,27,46.551724137931025,0,0.0474693737924099,0
2,1,28,48.275862068965516,0,0.027965277433395386,0
2,1,29,50.0,0,0.02538558840751648,0
2,1,30,51.724137931034484,0,0.036845311522483826,0
2,1,31,53.44827586206896,0,0.03689619526267052,0
2,1,32,55.172413793103445,0,0.006443646736443043,0
2,1,33,56.896551724137936,0,0.0058942195028066635,0
2,1,34,58.620689655172406,0,0.004208825528621674,0
2,1,35,60.3448275862069,0,0.004024987109005451,0
2,1,36,62.06896551724138,0,0.005851147696375847,0
2,1,37,63.793103448275865,0,0.05511487275362015,0
2,1,38,65.51724137931035,0,0.005449310876429081,0
2,1,39,67.24137931034483,0,0.0247289277613163,0
2,1,40,68.96551724137932,0,0.026144051924347878,0
2,1,41,70.6896551724138,0,0.027300652116537094,0
2,1,42,72.41379310344827,0,0.048277001827955246,0
2,1,43,74.13793103448276,0,0.025601470842957497,0
2,1,44,75.86206896551724,0,0.018571555614471436,0
2,1,45,77.58620689655173,0,0.012853143736720085,0
2,1,46,79.3103448275862,0,0.024907413870096207,0
2,1,47,81.03448275862068,0,0.058198753744363785,0
2,1,48,82.75862068965517,0,0.010214390233159065,0
2,1,49,84.48275862068965,0,0.003191363299265504,0
2,1,50,86.20689655172413,0,0.0028230396565049887,0
2,1,51,87.93103448275862,0,0.002086591674014926,0
2,1,52,89.65517241379311,0,0.001008333987556398,0
2,1,53,91.3793103448276,0,0.0009496309794485569,0
2,1,54,93.10344827586208,0,0.001233403687365353,0
2,1,55,94.82758620689657,0,0.006034397520124912,0
2,1,56,96.55172413793103,0,0.004651229828596115,0
2,1,57,98.27586206896552,0,0.004895757883787155,0
2,1,58,100.0,0,0.0009779423708096147,0
2,2,1,1.72413793103448,0,0.003918748814612627,0
2,2,2,3.44827586206896,0,0.0013188845477998257,0
2,2,3,5.1724137931034395,0,0.0009962256299331784,0
2,2,4,6.89655172413793,0,0.0007552732131443918,0
2,2,5,8.620689655172411,0,0.0006182173965498805,0
2,2,6,10.34482758620689,0,0.000978992902673781,0
2,2,7,12.068965517241379,0,0.0063127377070486546,0
2,2,8,13.79310344827586,0,0.004431454930454493,0
2,2,9,15.51724137931034,0,0.00983909610658884,0
2,2,10,17.24137931034483,0,0.009327075444161892,0
2,2,11,18.96551724137931,0,0.010312611237168312,0
2,2,12,20.68965517241379,0,0.023859815672039986,0
2,2,13,22.41379310344827,0,0.0943172350525856,0
2,2,14,24.137931034482758,0,0.037711139768362045,0
2,2,15,25.86206896551724,0,0.03269490972161293,0
2,2,16,27.58620689655172,0,0.03086087480187416,0
2,2,17,29.3103448275862,0,0.028040308505296707,0
2,2,18,31.03448275862069,0,0.02401658520102501,0
2,2,19,32.758620689655174,0,0.0443856380879879,0
2,2,20,34.48275862068966,0,0.9492731094360352,1
2,2,21,36.206896551724135,0,0.039658382534980774,0
2,2,22,37.93103448275862,0,0.07401052117347717,0
2,2,23,39.655172413793096,0,0.2886390686035156,0
2,2,24,41.37931034482758,0,0.2918716371059418,0
2,2,25,43.103448275862064,0,0.13269548118114471,0
2,2,26,44.827586206896555,1,0.7801495790481567,1
2,2,27,46.551724137931025,0,0.022387729957699776,0
2,2,28,48.275862068965516,0,0.0356169231235981,0
2,2,29,50.0,0,0.03555337339639664,0
2,2,30,51.724137931034484,0,0.02658095210790634,0
2,2,31,53.44827586206896,0,0.016442060470581055,0
2,2,32,55.172413793103445,0,0.0012953737750649452,0
2,2,33,56.896551724137936,0,0.001051540719345212,0
2,2,34,58.620689655172406,0,0.0012065265327692032,0
2,2,35,60.3448275862069,0,0.0010412510018795729,0
2,2,36,62.06896551724138,0,0.001194541109725833,0
2,2,37,63.793103448275865,0,0.0021065701730549335,0
2,2,38,65.51724137931035,0,0.0021897179540246725,0
2,2,39,67.24137931034483,0,0.0024108767975121737,0
2,2,40,68.96551724137932,0,0.0046921041794121265,0
2,2,41,70.6896551724138,0,0.0046110316179692745,0
